,country,month,export_value
459,USA,2012-09-01,188128148.0
460,Rep. of Korea,2012-09-01,194943826.822
461,Viet Nam,2012-09-01,1979480.539
462,China,2012-10-01,0.0
463,"China, Hong Kong SAR",2012-10-01,189965580.288
464,France,2012-10-01,37327975.438
465,Germany,2012-10-01,333532387.422
466,Italy,2012-10-01,48515442.664
467,Japan,2012-10-01,511446563.414
468,Malaysia,2012-10-01,210206793.968
469,Netherlands,2012-10-01,77809282.873
470,Philippines,2012-10-01,50093051.0
471,Singapore,2012-10-01,192316954.0
472,Thailand,2012-10-01,12013063.0
473,USA,2012-10-01,206128270.0
474,Rep. of Korea,2012-10-01,127432234.035
475,Viet Nam,2012-10-01,2224668.7320000003
476,China,2012-11-01,0.0
477,"China, Hong Kong SAR",2012-11-01,212568731.765
478,France,2012-11-01,37071508.92
479,Germany,2012-11-01,377847713.76
480,Italy,2012-11-01,49530960.48
481,Japan,2012-11-01,507839665.65
482,Malaysia,2012-11-01,174778510.214
483,Netherlands,2012-11-01,86453669.731
484,Philippines,2012-11-01,54883838.0
485,Singapore,2012-11-01,168849181.0
486,Thailand,2012-11-01,14595626.0
487,USA,2012-11-01,227292252.0
488,Rep. of Korea,2012-11-01,117876531.557
489,Viet Nam,2012-11-01,1851653.121
490,China,2012-12-01,0.0
491,"China, Hong Kong SAR",2012-12-01,243513805.488
492,France,2012-12-01,53364689.892
493,Germany,2012-12-01,334904487.129
494,Italy,2012-12-01,49014469.764
495,Japan,2012-12-01,457566826.777
496,Malaysia,2012-12-01,206700331.002
497,Netherlands,2012-12-01,96946100.446
498,Philippines,2012-12-01,44219080.0
499,Singapore,2012-12-01,117967303.0
500,Thailand,2012-12-01,14007009.0
501,USA,2012-12-01,212888427.0
502,Rep. of Korea,2012-12-01,102156516.508
503,Viet Nam,2012-12-01,1011777.418
504,China,2013-01-01,994640491.876
505,"China, Hong Kong SAR",2013-01-01,217490338.892
506,France,2013-01-01,24602572.544
507,Germany,2013-01-01,302270298.818
508,Italy,2013-01-01,26424490.224
509,Japan,2013-01-01,345739380.016
510,Malaysia,2013-01-01,218827213.596
511,Netherlands,2013-01-01,69448055.054
512,Philippines,2013-01-01,62108489.0
513,Singapore,2013-01-01,136018280.164
514,Thailand,2013-01-01,11490580.0
515,USA,2013-01-01,232332524.0
516,Rep. of Korea,2013-01-01,291795441.0
517,Viet Nam,2013-01-01,10423501.986
518,China,2013-02-01,1268137367.473
519,"China, Hong Kong SAR",2013-02-01,164693110.382
520,France,2013-02-01,28290314.223
